t=2026-05-13T12:07:02+0700 lvl=info msg="no configuration paths supplied"
t=2026-05-13T12:07:02+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-13T12:07:02+0700 lvl=info msg="open config file" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-13T12:07:02+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-13T12:07:02+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-13T12:07:03+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-13T12:07:03+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-13T12:07:03+0700 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5000 url=https://leida-unfluked-ulises.ngrok-free.dev
t=2026-05-13T12:07:16+0700 lvl=info msg=start pg=/api/tunnels id=306601ad0985dc5c
t=2026-05-13T12:07:16+0700 lvl=info msg=end pg=/api/tunnels id=306601ad0985dc5c status=200 dur=510.4µs
t=2026-05-13T12:07:47+0700 lvl=info msg="join connections" obj=join id=83dc8888615c l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:07:48+0700 lvl=info msg="join connections" obj=join id=c5fb32222613 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:08:41+0700 lvl=info msg=start pg=/api/requests/http id=4add3b8ef2c8f581
t=2026-05-13T12:08:41+0700 lvl=info msg=end pg=/api/requests/http id=4add3b8ef2c8f581 status=200 dur=2.1875ms
t=2026-05-13T12:10:20+0700 lvl=info msg="join connections" obj=join id=ec8861c43248 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:10:20+0700 lvl=info msg="join connections" obj=join id=820acb6ae918 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:10:29+0700 lvl=info msg="join connections" obj=join id=6eb0d0e020ee l=[::1]:5000 r=14.191.220.178:6431
t=2026-05-13T12:11:27+0700 lvl=info msg="join connections" obj=join id=7d2ed143bcc4 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:11:27+0700 lvl=info msg="join connections" obj=join id=70a61932af38 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:12:41+0700 lvl=info msg="join connections" obj=join id=be016088e0f4 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:12:41+0700 lvl=info msg="join connections" obj=join id=3bebe02d932f l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:12:54+0700 lvl=info msg="join connections" obj=join id=760e771a5946 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:13:53+0700 lvl=info msg="join connections" obj=join id=02ce1af9f51f l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:13:53+0700 lvl=info msg="join connections" obj=join id=2d1a75a63cff l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:14:29+0700 lvl=info msg="join connections" obj=join id=8dce08b94cf3 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:14:43+0700 lvl=info msg="join connections" obj=join id=c31d9a1a5e45 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:14:43+0700 lvl=info msg="join connections" obj=join id=9b8a1624fe07 l=[::1]:5000 r=101.99.45.158:56332
